subject,trial,condition,RT_ms,accuracy,age
S02,31,Incongruent,577.6,1,28
S02,32,Incongruent,539.4,1,28
S02,33,Incongruent,561.4,1,28
S02,34,Incongruent,542.9,1,28
S02,35,Incongruent,651.8,0,28
S02,36,Congruent,455.0,1,28
S02,37,Incongruent,586.7,1,28
S02,38,Congruent,418.6,1,28
S02,39,Incongruent,620.7,1,28
S02,40,Incongruent,596.4,1,28
S02,41,Congruent,430.5,1,28
S02,42,Incongruent,558.6,1,28
S02,43,Congruent,489.4,1,28
S02,44,Incongruent,483.3,1,28
S02,45,Incongruent,502.4,1,28
S02,46,Congruent,594.3,1,28
S02,47,Incongruent,570.7,1,28
S02,48,Congruent,463.4,1,28
S02,49,Incongruent,485.3,1,28
S02,50,Congruent,487.1,1,28
S02,51,Congruent,429.3,1,28
S02,52,Incongruent,481.5,1,28
S02,53,Incongruent,542.0,1,28
S02,54,Congruent,543.1,1,28
S02,55,Congruent,457.7,1,28
S02,56,Congruent,483.0,1,28
S02,57,Incongruent,653.4,1,28
S02,58,Congruent,468.8,1,28
S02,59,Congruent,498.3,1,28
S02,60,Incongruent,418.8,1,28
S02,61,Congruent,530.3,1,28
S02,62,Incongruent,618.0,1,28
S02,63,Congruent,417.2,1,28
S02,64,Incongruent,538.6,1,28
S02,65,Incongruent,462.2,1,28
S02,66,Incongruent,530.3,1,28
S02,67,Congruent,449.1,1,28
S02,68,Congruent,433.2,1,28
S02,69,Incongruent,605.8,1,28
S02,70,Incongruent,500.0,1,28
S02,71,Incongruent,484.7,1,28
S02,72,Congruent,420.4,1,28
S02,73,Incongruent,544.0,1,28
S02,74,Incongruent,508.8,1,28
S02,75,Incongruent,532.9,1,28
S02,76,Congruent,487.6,1,28
S02,77,Incongruent,522.4,0,28
S02,78,Congruent,520.4,1,28
S02,79,Incongruent,611.5,1,28
S02,80,Congruent,467.8,1,28
S02,81,Congruent,386.8,1,28
S02,82,Congruent,459.0,1,28
S02,83,Incongruent,480.9,1,28
S02,84,Incongruent,481.4,1,28
S02,85,Congruent,452.6,1,28
S02,86,Congruent,482.0,1,28
S02,87,Congruent,478.3,1,28
S02,88,Congruent,421.7,1,28
S02,89,Congruent,401.4,1,28
S02,90,Congruent,471.0,1,28
S02,91,Congruent,466.0,1,28
S02,92,Incongruent,412.0,1,28
S02,93,Congruent,430.9,1,28
S02,94,Congruent,469.0,1,28
S02,95,Congruent,459.1,1,28
S02,96,Congruent,455.7,1,28
S02,97,Congruent,487.9,1,28
S02,98,Incongruent,543.3,1,28
S02,99,Congruent,436.3,1,28
S02,100,Congruent,460.3,1,28
S03,1,Incongruent,537.5,1,32
S03,2,Congruent,564.6,1,32
S03,3,Incongruent,494.0,1,32
S03,4,Congruent,546.2,1,32
S03,5,Incongruent,568.4,1,32
S03,6,Incongruent,608.4,1,32
S03,7,Congruent,556.2,1,32
S03,8,Incongruent,547.0,1,32
S03,9,Incongruent,605.3,1,32
S03,10,Incongruent,582.1,1,32
S03,11,Congruent,433.7,1,32
S03,12,Incongruent,484.7,1,32
S03,13,Incongruent,612.6,1,32
S03,14,Incongruent,552.2,1,32
S03,15,Congruent,490.9,0,32
S03,16,Congruent,453.2,0,32
S03,17,Incongruent,589.2,1,32
S03,18,Incongruent,607.0,1,32
S03,19,Congruent,513.6,1,32
S03,20,Congruent,435.8,1,32
S03,21,Congruent,542.4,1,32
S03,22,Incongruent,530.3,0,32
S03,23,Incongruent,549.2,1,32
S03,24,Incongruent,572.0,1,32
S03,25,Congruent,525.1,1,32
S03,26,Incongruent,515.7,1,32
S03,27,Congruent,494.1,1,32
S03,28,Congruent,505.3,1,32
S03,29,Incongruent,579.1,1,32
S03,30,Congruent,535.5,1,32
S03,31,Incongruent,478.4,1,32
S03,32,Congruent,456.0,1,32
S03,33,Congruent,465.9,1,32
S03,34,Congruent,540.8,1,32
S03,35,Congruent,477.4,0,32
S03,36,Incongruent,573.5,0,32
S03,37,Congruent,390.8,1,32
S03,38,Congruent,531.2,1,32
S03,39,Congruent,468.9,1,32
S03,40,Congruent,509.4,1,32
S03,41,Incongruent,487.2,1,32
S03,42,Congruent,492.2,1,32
S03,43,Incongruent,605.4,1,32
S03,44,Incongruent,545.3,1,32
S03,45,Congruent,551.5,1,32
S03,46,Congruent,470.8,1,32
S03,47,Incongruent,564.3,1,32
S03,48,Congruent,535.6,1,32
S03,49,Incongruent,608.2,1,32
S03,50,Congruent,449.6,1,32
S03,51,Incongruent,511.4,0,32
S03,52,Incongruent,513.8,1,32
S03,53,Congruent,451.0,1,32
S03,54,Incongruent,543.9,1,32
S03,55,Congruent,565.3,1,32
S03,56,Incongruent,530.3,1,32
S03,57,Incongruent,578.6,1,32
S03,58,Congruent,403.2,1,32
S03,59,Incongruent,547.5,1,32
S03,60,Incongruent,593.0,1,32
S03,61,Congruent,383.1,1,32
S03,62,Congruent,448.1,1,32
S03,63,Incongruent,527.9,0,32
S03,64,Incongruent,583.5,1,32
S03,65,Incongruent,543.0,1,32
S03,66,Congruent,518.2,1,32
S03,67,Incongruent,529.6,1,32
S03,68,Congruent,501.5,1,32
S03,69,Congruent,460.0,1,32
S03,70,Incongruent,541.2,1,32
S03,71,Congruent,474.4,1,32
S03,72,Congruent,357.1,1,32
S03,73,Incongruent,496.2,1,32
S03,74,Incongruent,565.1,1,32
S03,75,Incongruent,588.9,1,32
S03,76,Congruent,447.9,1,32
S03,77,Congruent,480.6,1,32
S03,78,Congruent,529.9,1,32
S03,79,Incongruent,484.9,1,32
S03,80,Incongruent,573.1,1,32
S03,81,Incongruent,523.5,1,32
S03,82,Congruent,445.5,1,32
S03,83,Congruent,482.1,1,32
S03,84,Incongruent,541.0,1,32
S03,85,Congruent,452.1,1,32
S03,86,Congruent,456.1,1,32
S03,87,Congruent,515.1,1,32
S03,88,Congruent,457.7,1,32
S03,89,Congruent,512.5,1,32
S03,90,Incongruent,516.5,1,32
S03,91,Incongruent,534.0,0,32
S03,92,Congruent,487.7,1,32
S03,93,Congruent,462.7,1,32
S03,94,Incongruent,536.7,1,32
S03,95,Congruent,455.5,1,32
S03,96,Congruent,509.9,1,32
S03,97,Incongruent,525.1,1,32
S03,98,Incongruent,566.9,1,32
S03,99,Incongruent,532.8,1,32
S03,100,Incongruent,512.1,1,32
S04,1,Congruent,566.4,1,30
S04,2,Incongruent,758.5,1,30
S04,3,Congruent,624.2,1,30
S04,4,Congruent,594.0,1,30
S04,5,Congruent,606.8,1,30
S04,6,Congruent,629.9,0,30
S04,7,Congruent,675.2,1,30
S04,8,Congruent,611.6,1,30
S04,9,Incongruent,735.6,1,30
S04,10,Congruent,673.0,1,30
S04,11,Incongruent,623.5,1,30
S04,12,Incongruent,705.8,1,30
S04,13,Congruent,728.0,1,30
S04,14,Congruent,653.0,1,30
S04,15,Congruent,636.0,1,30
S04,16,Incongruent,632.7,1,30
S04,17,Congruent,730.3,1,30
S04,18,Incongruent,657.4,1,30
S04,19,Incongruent,714.0,1,30
S04,20,Incongruent,697.9,1,30
S04,21,Congruent,542.6,1,30
S04,22,Incongruent,684.0,1,30
S04,23,Incongruent,594.4,1,30
S04,24,Congruent,642.5,1,30
S04,25,Incongruent,668.0,1,30
S04,26,Incongruent,715.6,1,30
S04,27,Incongruent,686.6,1,30
S04,28,Congruent,649.0,1,30
S04,29,Incongruent,787.5,1,30
S04,30,Incongruent,714.0,1,30
S04,31,Incongruent,691.7,1,30
S04,32,Congruent,606.3,1,30
S04,33,Incongruent,698.8,1,30
S04,34,Congruent,676.0,1,30
S04,35,Incongruent,637.4,1,30
S04,36,Congruent,596.9,1,30
S04,37,Incongruent,618.1,1,30
S04,38,Incongruent,705.0,1,30
S04,39,Congruent,578.3,1,30
S04,40,Congruent,641.7,0,30
S04,41,Congruent,606.1,1,30
S04,42,Incongruent,670.8,1,30
S04,43,Congruent,552.2,0,30
S04,44,Incongruent,694.8,1,30
S04,45,Incongruent,613.1,1,30
S04,46,Incongruent,650.9,0,30
S04,47,Congruent,608.0,1,30
S04,48,Congruent,576.7,1,30
S04,49,Incongruent,575.6,1,30
S04,50,Incongruent,618.1,1,30
S04,51,Congruent,556.7,1,30
S04,52,Incongruent,710.4,1,30
S04,53,Incongruent,641.1,1,30
S04,54,Incongruent,672.1,1,30
S04,55,Congruent,527.6,1,30
S04,56,Incongruent,706.5,1,30
S04,57,Incongruent,685.5,1,30
S04,58,Incongruent,688.3,1,30
S04,59,Incongruent,701.3,1,30
S04,60,Congruent,609.0,1,30
S04,61,Congruent,514.8,1,30
S04,62,Incongruent,748.9,1,30
S04,63,Congruent,561.8,1,30
S04,64,Congruent,492.2,1,30
S04,65,Incongruent,630.8,1,30
S04,66,Incongruent,657.1,1,30
S04,67,Congruent,559.7,0,30
S04,68,Incongruent,538.6,1,30
S04,69,Congruent,558.7,1,30
S04,70,Congruent,597.6,1,30
S04,71,Incongruent,636.3,1,30
S04,72,Congruent,545.1,1,30
S04,73,Incongruent,638.1,1,30
S04,74,Congruent,561.6,1,30
S04,75,Incongruent,638.4,1,30
S04,76,Congruent,589.6,1,30
S04,77,Congruent,592.3,1,30
S04,78,Incongruent,713.2,1,30
S04,79,Incongruent,733.6,1,30
S04,80,Congruent,498.4,0,30
S04,81,Congruent,509.4,1,30
S04,82,Congruent,509.2,1,30
S04,83,Congruent,520.4,1,30
S04,84,Incongruent,548.3,0,30
S04,85,Incongruent,565.0,1,30
S04,86,Incongruent,713.8,1,30
S04,87,Incongruent,688.0,1,30
S04,88,Congruent,563.5,1,30
S04,89,Incongruent,646.6,1,30
S04,90,Incongruent,621.4,1,30
S04,91,Congruent,604.6,1,30
S04,92,Congruent,505.7,1,30
S04,93,Congruent,587.2,1,30
S04,94,Congruent,581.0,1,30
S04,95,Incongruent,654.8,1,30
S04,96,Congruent,637.0,1,30
S04,97,Congruent,546.7,1,30
S04,98,Congruent,476.9,1,30
S04,99,Congruent,578.1,1,30
S04,100,Incongruent,599.9,1,30
S05,1,Incongruent,653.1,1,29
S05,2,Incongruent,583.1,1,29
S05,3,Incongruent,534.0,1,29
S05,4,Incongruent,571.9,0,29
S05,5,Congruent,506.1,0,29
S05,6,Incongruent,635.1,1,29
S05,7,Incongruent,497.2,1,29
S05,8,Congruent,565.1,1,29
S05,9,Congruent,486.7,1,29
S05,10,Congruent,457.2,1,29
S05,11,Congruent,559.6,1,29
S05,12,Congruent,501.4,1,29
S05,13,Congruent,533.1,1,29
S05,14,Incongruent,623.7,1,29
S05,15,Incongruent,554.8,1,29
S05,16,Incongruent,663.9,1,29
S05,17,Incongruent,556.4,1,29
S05,18,Incongruent,533.2,0,29
S05,19,Congruent,544.2,1,29
S05,20,Incongruent,641.2,1,29
S05,21,Congruent,575.5,1,29
S05,22,Congruent,494.0,1,29
S05,23,Congruent,535.3,1,29
S05,24,Congruent,529.0,1,29
S05,25,Congruent,543.3,0,29
S05,26,Incongruent,575.0,1,29
S05,27,Incongruent,605.6,1,29
S05,28,Incongruent,609.9,0,29
S05,29,Incongruent,650.0,0,29
S05,30,Incongruent,610.3,1,29
S05,31,Incongruent,476.8,1,29
S05,32,Incongruent,545.0,1,29
S05,33,Incongruent,562.5,1,29
S05,34,Incongruent,587.6,0,29
S05,35,Incongruent,494.7,1,29
S05,36,Congruent,534.0,1,29
S05,37,Congruent,441.0,1,29
S05,38,Incongruent,601.5,1,29
S05,39,Incongruent,592.4,1,29
S05,40,Incongruent,432.1,1,29
S05,41,Congruent,429.0,0,29
S05,42,Incongruent,618.1,1,29
S05,43,Congruent,550.0,1,29
S05,44,Congruent,488.5,1,29
S05,45,Congruent,567.7,1,29
S05,46,Incongruent,597.1,0,29
S05,47,Congruent,465.5,1,29
S05,48,Incongruent,555.5,1,29
S05,49,Congruent,471.2,1,29
S05,50,Incongruent,603.0,1,29
S05,51,Congruent,485.4,1,29
S05,52,Incongruent,605.2,1,29
S05,53,Incongruent,583.7,1,29
S05,54,Congruent,473.1,0,29
S05,55,Congruent,515.4,1,29
S05,56,Congruent,511.9,1,29
S05,57,Congruent,521.8,1,29
S05,58,Incongruent,594.1,1,29
S05,59,Congruent,547.0,1,29
S05,60,Incongruent,580.4,1,29
S05,61,Incongruent,584.8,0,29
S05,62,Congruent,542.0,1,29
S05,63,Incongruent,601.9,1,29
S05,64,Incongruent,587.1,1,29
S05,65,Congruent,516.1,1,29
S05,66,Congruent,574.6,1,29
S05,67,Congruent,566.4,1,29
S05,68,Congruent,508.4,0,29
S05,69,Incongruent,451.7,1,29
S05,70,Congruent,484.1,1,29
S05,71,Incongruent,410.8,1,29
S05,72,Incongruent,603.4,0,29
S05,73,Congruent,440.1,1,29
S05,74,Incongruent,547.8,1,29
S05,75,Congruent,541.5,1,29
S05,76,Incongruent,523.6,1,29
S05,77,Incongruent,619.7,1,29
S05,78,Congruent,527.7,1,29
S05,79,Congruent,505.6,1,29
S05,80,Incongruent,576.5,1,29
S05,81,Congruent,459.1,1,29
S05,82,Congruent,497.3,1,29
S05,83,Congruent,503.0,1,29
S05,84,Congruent,407.8,1,29
S05,85,Incongruent,548.4,1,29
S05,86,Incongruent,535.8,1,29
S05,87,Congruent,540.7,1,29
S05,88,Congruent,436.9,1,29
S05,89,Incongruent,586.7,1,29
S05,90,Incongruent,597.6,1,29
S05,91,Incongruent,580.4,1,29
S05,92,Congruent,403.8,1,29
S05,93,Congruent,455.7,1,29
S05,94,Congruent,511.4,1,29
S05,95,Incongruent,526.6,1,29
S05,96,Congruent,525.6,1,29
S05,97,Congruent,445.7,1,29
S05,98,Incongruent,540.5,1,29
S05,99,Congruent,448.4,1,29
S05,100,Congruent,377.8,1,29
S06,1,Congruent,647.2,1,22
S06,2,Incongruent,659.7,1,22
S06,3,Congruent,633.4,1,22
S06,4,Congruent,594.0,1,22
S06,5,Congruent,610.5,1,22
S06,6,Congruent,485.6,1,22
S06,7,Congruent,642.6,1,22
S06,8,Incongruent,692.0,1,22
S06,9,Incongruent,762.7,1,22
S06,10,Congruent,616.8,1,22
S06,11,Congruent,680.9,1,22
S06,12,Congruent,575.5,1,22
S06,13,Congruent,625.2,1,22
S06,14,Congruent,538.1,1,22
S06,15,Incongruent,628.0,1,22
S06,16,Incongruent,714.8,1,22
S06,17,Incongruent,772.6,0,22
S06,18,Congruent,541.1,1,22
S06,19,Incongruent,659.0,1,22
S06,20,Congruent,609.4,1,22
S06,21,Incongruent,620.3,1,22
S06,22,Congruent,596.4,1,22
S06,23,Incongruent,574.7,1,22
S06,24,Incongruent,700.3,0,22
S06,25,Congruent,647.2,1,22
S06,26,Congruent,711.8,1,22
S06,27,Congruent,513.3,1,22
S06,28,Congruent,533.0,1,22
S06,29,Congruent,673.4,1,22
S06,30,Incongruent,705.3,1,22
S06,31,Congruent,589.3,1,22
S06,32,Incongruent,605.5,1,22
S06,33,Congruent,647.2,1,22
S06,34,Congruent,641.0,1,22
S06,35,Incongruent,655.8,1,22
S06,36,Congruent,583.5,1,22
S06,37,Incongruent,694.3,1,22
S06,38,Incongruent,612.7,1,22
S06,39,Incongruent,649.6,1,22
S06,40,Congruent,556.8,1,22
S06,41,Congruent,625.6,1,22
S06,42,Congruent,592.2,1,22
S06,43,Congruent,558.7,1,22
S06,44,Congruent,687.9,1,22
S06,45,Incongruent,602.0,1,22
S06,46,Congruent,523.1,1,22
S06,47,Incongruent,657.5,1,22
S06,48,Incongruent,657.7,1,22
S06,49,Incongruent,668.8,1,22
S06,50,Incongruent,634.7,1,22
S06,51,Congruent,631.2,1,22
S06,52,Congruent,548.8,1,22
S06,53,Incongruent,554.4,1,22
S06,54,Incongruent,664.7,1,22
S06,55,Incongruent,635.0,1,22
S06,56,Incongruent,630.4,1,22
S06,57,Incongruent,655.4,1,22
S06,58,Incongruent,623.2,1,22
S06,59,Congruent,583.0,0,22
S06,60,Incongruent,712.1,1,22
S06,61,Incongruent,698.3,1,22
S06,62,Congruent,622.4,1,22
S06,63,Incongruent,626.2,1,22
S06,64,Incongruent,635.5,1,22
S06,65,Congruent,604.5,1,22
S06,66,Incongruent,688.7,1,22
S06,67,Congruent,684.7,1,22
S06,68,Congruent,536.3,0,22
S06,69,Incongruent,613.7,1,22
S06,70,Congruent,596.2,1,22
S06,71,Incongruent,648.6,1,22
S06,72,Incongruent,615.9,1,22
S06,73,Congruent,571.5,1,22
S06,74,Incongruent,614.7,1,22
S06,75,Incongruent,641.9,1,22
S06,76,Incongruent,644.0,1,22
S06,77,Congruent,623.6,1,22
S06,78,Incongruent,662.9,1,22
S06,79,Congruent,546.2,1,22
S06,80,Congruent,543.1,1,22
S06,81,Congruent,594.1,0,22
S06,82,Congruent,599.8,1,22
S06,83,Congruent,497.0,1,22
S06,84,Incongruent,639.4,1,22
S06,85,Incongruent,695.7,0,22
S06,86,Incongruent,607.1,1,22
S06,87,Incongruent,638.1,1,22
S06,88,Congruent,573.7,1,22
S06,89,Incongruent,536.6,1,22
S06,90,Congruent,523.3,1,22
S06,91,Incongruent,670.6,1,22
S06,92,Congruent,624.3,1,22
S06,93,Incongruent,717.3,1,22
S06,94,Incongruent,666.7,0,22
S06,95,Congruent,465.5,1,22
S06,96,Incongruent,561.6,1,22
S06,97,Incongruent,624.4,1,22
S06,98,Congruent,587.6,1,22
S06,99,Incongruent,614.3,1,22
S06,100,Congruent,640.5,1,22
S07,1,Congruent,555.4,1,25
S07,2,Incongruent,587.1,1,25
S07,3,Congruent,479.6,0,25
S07,4,Congruent,488.7,1,25
S07,5,Incongruent,561.1,1,25
S07,6,Congruent,495.1,1,25
S07,7,Congruent,482.1,1,25
S07,8,Incongruent,498.8,1,25
S07,9,Congruent,353.4,1,25
S07,10,Congruent,464.1,1,25
S07,11,Incongruent,565.9,1,25
S07,12,Congruent,451.8,1,25
S07,13,Incongruent,576.5,0,25
S07,14,Incongruent,546.4,1,25
S07,15,Congruent,514.7,1,25
S07,16,Congruent,451.2,1,25
S07,17,Congruent,361.6,1,25
S07,18,Congruent,360.1,1,25
S07,19,Congruent,497.1,1,25
S07,20,Incongruent,467.9,1,25
S07,21,Incongruent,507.4,1,25
S07,22,Congruent,473.5,1,25
S07,23,Congruent,435.4,0,25
S07,24,Congruent,434.0,1,25
S07,25,Congruent,417.0,1,25
S07,26,Incongruent,581.2,1,25
S07,27,Congruent,399.1,1,25
S07,28,Incongruent,532.9,1,25
S07,29,Congruent,503.4,1,25
S07,30,Incongruent,539.1,1,25
S07,31,Congruent,451.6,1,25
S07,32,Incongruent,449.9,1,25
S07,33,Congruent,424.5,1,25
S07,34,Incongruent,503.4,1,25
S07,35,Incongruent,496.9,1,25
S07,36,Congruent,510.0,1,25
S07,37,Incongruent,553.3,1,25
S07,38,Incongruent,484.6,1,25
S07,39,Incongruent,555.0,1,25
S07,40,Congruent,421.6,1,25
S07,41,Incongruent,511.2,1,25
S07,42,Congruent,474.2,1,25
S07,43,Congruent,395.3,1,25
S07,44,Congruent,512.2,1,25
S07,45,Congruent,397.0,1,25
S07,46,Incongruent,441.7,0,25
S07,47,Incongruent,510.6,1,25
S07,48,Congruent,424.3,0,25
S07,49,Incongruent,478.4,1,25
S07,50,Congruent,432.4,1,25
S07,51,Congruent,485.1,1,25
S07,52,Incongruent,465.9,1,25
S07,53,Congruent,479.8,1,25
S07,54,Congruent,372.5,1,25
S07,55,Congruent,448.5,1,25
S07,56,Congruent,433.1,1,25
S07,57,Incongruent,524.4,1,25
S07,58,Incongruent,491.3,0,25
S07,59,Incongruent,488.2,1,25
S07,60,Incongruent,543.6,1,25
S07,61,Incongruent,572.9,1,25
S07,62,Congruent,546.3,1,25
S07,63,Incongruent,528.1,1,25
S07,64,Incongruent,483.4,1,25
S07,65,Incongruent,529.5,1,25
S07,66,Incongruent,541.9,1,25
S07,67,Incongruent,487.3,1,25
S07,68,Congruent,592.7,1,25
S07,69,Incongruent,504.8,1,25
S07,70,Incongruent,540.4,1,25
S07,71,Congruent,462.7,1,25
S07,72,Congruent,430.5,1,25
S07,73,Congruent,473.8,1,25
S07,74,Congruent,449.9,1,25
S07,75,Congruent,470.3,1,25
S07,76,Congruent,427.4,0,25
S07,77,Incongruent,519.9,1,25
S07,78,Incongruent,458.2,0,25
S07,79,Incongruent,573.4,1,25
S07,80,Incongruent,560.9,1,25
S07,81,Incongruent,469.6,1,25
S07,82,Congruent,447.9,1,25
S07,83,Incongruent,432.7,1,25
S07,84,Congruent,421.5,1,25
S07,85,Incongruent,449.2,1,25
S07,86,Incongruent,539.1,1,25
S07,87,Incongruent,474.7,1,25
S07,88,Congruent,409.3,1,25
S07,89,Congruent,389.3,1,25
S07,90,Incongruent,453.0,1,25
S07,91,Congruent,463.8,1,25
S07,92,Incongruent,497.7,0,25
S07,93,Congruent,465.1,1,25
S07,94,Incongruent,470.6,1,25
S07,95,Incongruent,478.7,1,25
S07,96,Congruent,445.8,1,25
S07,97,Incongruent,468.7,1,25
S07,98,Incongruent,529.0,1,25
S07,99,Congruent,393.5,1,25
S07,100,Incongruent,520.8,1,25
S08,1,Congruent,571.7,1,38
S08,2,Congruent,606.3,1,38
S08,3,Congruent,539.4,0,38
S08,4,Congruent,602.3,0,38
S08,5,Congruent,601.7,1,38
S08,6,Congruent,529.1,1,38
S08,7,Incongruent,611.0,1,38
S08,8,Congruent,604.7,1,38
S08,9,Congruent,553.4,1,38
S08,10,Incongruent,674.7,1,38
S08,11,Congruent,623.7,1,38
S08,12,Congruent,608.6,1,38
S08,13,Incongruent,650.7,1,38
S08,14,Incongruent,668.7,1,38
S08,15,Incongruent,598.0,1,38
S08,16,Congruent,649.3,1,38
S08,17,Congruent,621.2,1,38
S08,18,Incongruent,708.7,1,38
S08,19,Congruent,641.3,0,38
S08,20,Incongruent,558.3,1,38
S08,21,Incongruent,658.7,1,38
S08,22,Incongruent,692.7,0,38
S08,23,Congruent,545.4,1,38
S08,24,Congruent,519.1,1,38
S08,25,Congruent,536.9,1,38
S08,26,Congruent,579.2,1,38
S08,27,Congruent,530.0,1,38
S08,28,Incongruent,692.4,1,38
S08,29,Congruent,609.1,1,38
S08,30,Incongruent,709.8,0,38
S08,31,Incongruent,634.6,1,38
S08,32,Congruent,558.0,1,38
S08,33,Congruent,635.1,1,38
S08,34,Incongruent,612.2,1,38
S08,35,Congruent,577.2,0,38
S08,36,Congruent,600.7,1,38
S08,37,Incongruent,600.4,1,38
S08,38,Incongruent,707.4,1,38
S08,39,Congruent,625.8,1,38
S08,40,Incongruent,645.1,1,38
S08,41,Incongruent,669.5,1,38
S08,42,Congruent,491.9,1,38
S08,43,Congruent,605.1,1,38
S08,44,Congruent,589.2,1,38
S08,45,Incongruent,665.0,1,38
S08,46,Congruent,543.5,1,38
S08,47,Incongruent,681.5,1,38
S08,48,Congruent,622.9,1,38
S08,49,Incongruent,618.2,1,38
S08,50,Congruent,587.2,1,38
S08,51,Incongruent,685.5,1,38
S08,52,Congruent,505.7,1,38
S08,53,Incongruent,569.2,1,38
S08,54,Congruent,541.8,1,38
